
time,Gain,
1.0840,77.1210,
1.0840,77.1210,
1.0850,77.1210,
1.1150,77.1210,
1.1160,77.1210,
1.1450,77.1210,
1.1460,77.1210,
1.1470,77.1210,
1.1480,77.1210,
1.1640,77.1210,
1.1970,77.1210,
1.1980,77.1210,
1.2000,77.1210,
1.2010,77.1210,
1.2160,77.1210,
1.2170,77.1210,
1.2590,77.1210,
1.2600,77.1210,
1.2610,77.1210,
1.2760,77.1210,
1.3030,77.1210,
1.3160,81.5365,
1.3170,81.5365,
1.3190,81.5365,
1.3190,81.5365,
1.3200,81.5365,
1.3650,81.5365,
1.3770,81.5365,
1.3780,81.5365,
1.3780,81.5365,
1.3790,81.5365,
1.4010,81.5365,
1.4150,81.5365,
1.4350,81.5365,
1.4360,81.5365,
1.4360,81.5365,
1.4550,81.5365,
1.4780,81.5365,
1.4940,81.5365,
1.5010,81.5365,
1.5020,81.5365,
1.5110,81.5365,
1.5190,81.5365,
1.5280,81.5365,
1.5470,81.5365,
1.5480,81.5365,
1.5480,81.5365,
1.5600,81.5365,
1.5960,81.5365,
1.6120,87.9836,
1.6130,87.9836,
1.6140,87.9836,
1.6140,87.9836,
1.6150,87.9836,
1.6660,87.9836,
1.6670,87.9836,
1.6680,87.9836,
1.6780,87.9836,
1.6850,87.9836,
1.7140,87.9836,
1.7220,87.9836,
1.7260,87.9836,
1.7270,87.9836,
1.7270,87.9836,
1.7580,87.9836,
1.7710,87.9836,
1.7840,87.9836,
1.7840,87.9836,
1.7840,87.9836,
1.7940,87.9836,
1.8160,87.9836,
1.8240,87.9836,
1.8420,87.9836,
1.8420,87.9836,
1.8430,87.9836,
1.8730,87.9836,
1.9030,87.9836,
1.9030,87.9836,
1.9030,87.9836,
1.9040,87.9836,
1.9120,86.8472,
1.9150,86.8472,
1.9560,86.8472,
1.9560,86.8472,
1.9560,86.8472,
1.9640,86.8472,
1.9740,86.8472,
1.9920,86.8472,
2.0110,86.8472,
2.0170,86.8472,
2.0180,86.8472,
2.0190,86.8472,
2.0530,86.8472,
2.0720,86.8472,
2.0730,86.8472,
2.0730,86.8472,
2.0730,86.8472,
2.1100,86.8472,
2.1130,86.8472,
2.1330,86.8472,
2.1330,86.8472,
2.1340,86.8472,
2.1350,86.8472,
2.1670,86.8472,
2.1920,86.8472,
2.1930,86.8472,
2.1940,86.8472,
2.1960,86.8472,
2.2170,89.8592,
2.2170,89.8592,
2.2500,89.8592,
2.2510,89.8592,
2.2520,89.8592,
2.2780,89.8592,
2.2880,89.8592,
2.3070,89.8592,
2.3070,89.8592,
2.3080,89.8592,
2.3140,89.8592,
2.3150,89.8592,
2.3560,89.8592,
2.3660,89.8592,
2.3710,89.8592,
2.3720,89.8592,
2.3720,89.8592,
2.3960,89.8592,
2.4120,89.8592,
2.4260,89.8592,
2.4270,89.8592,
2.4280,89.8592,
2.4280,89.8592,
2.4780,89.8592,
2.4840,89.8592,
2.4840,89.8592,
2.4850,89.8592,
2.5040,89.8592,
2.5130,89.8592,
2.5190,88.8128,
2.5430,88.8128,
2.5470,88.8128,
2.5520,88.8128,
2.5640,88.8128,
2.5790,88.8128,
2.5940,88.8128,
2.5980,88.8128,
2.5990,88.8128,
2.5990,88.8128,
2.6120,88.8128,
2.6650,88.8128,
2.6660,88.8128,
2.6660,88.8128,
2.6670,88.8128,
2.6800,88.8128,
2.7120,88.8128,
2.7180,88.8128,
2.7190,88.8128,
2.7230,88.8128,
2.7230,88.8128,
2.7380,88.8128,
2.7680,88.8128,
2.7750,88.8128,
2.7770,88.8128,
2.7770,88.8128,
2.7970,88.8128,
2.8200,87.4883,
2.8210,87.4883,
2.8330,87.4883,
2.8340,87.4883,
2.8350,87.4883,
2.8800,87.4883,
2.8940,87.4883,
2.8940,87.4883,
2.8950,87.4883,
2.8960,87.4883,
2.9130,87.4883,
2.9200,87.4883,
2.9500,87.4883,
2.9510,87.4883,
2.9520,87.4883,
2.9660,87.4883,
2.9660,87.4883,
2.9980,87.4883,
3.0100,87.4883,
3.0110,87.4883,
3.0120,87.4883,
3.0130,87.4883,
3.0410,87.4883,
3.0670,87.4883,
3.0680,87.4883,
3.0680,87.4883,
3.0770,87.4883,
3.1100,87.4883,
3.1120,87.4883,
3.1200,87.4883,
3.1270,84.5486,
3.1270,84.5486,
3.1270,84.5486,
3.1700,84.5486,
3.1830,84.5486,
3.1830,84.5486,
3.1840,84.5486,
3.1850,84.5486,
3.1970,84.5486,
3.2140,84.5486,
3.2490,84.5486,
3.2500,84.5486,
3.2510,84.5486,
3.2640,84.5486,
3.2770,84.5486,
3.3020,84.5486,
3.3030,84.5486,
3.3030,84.5486,
3.3120,84.5486,
3.3170,84.5486,
3.3340,84.5486,
3.3550,84.5486,
3.3550,84.5486,
3.3550,84.5486,
3.3580,84.5486,
3.3910,84.5486,
3.4090,84.5486,
3.4090,84.5486,
3.4120,84.5486,
3.4120,84.5486,
3.4120,84.5486,
